#Header
x(m) y(m) Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0 0 0 2.562e-05 0
0.2 0 0 1.35484e-05 0
0.2 0.1 0 1.35476e-05 0
0 0.1 0 2.59294e-05 0
0.00141844 0.1 0 2.58857e-05 0
0.00283688 0.1 0 2.58116e-05 0
0.00425532 0.1 0 2.57214e-05 0
0.00567376 0.1 0 2.56135e-05 0
0.0070922 0.1 0 2.54957e-05 0
0.00851064 0.1 0 2.53715e-05 0
0.00992908 0.1 0 2.5243e-05 0
0.0113475 0.1 0 2.51115e-05 0
0.012766 0.1 0 2.4978e-05 0
0.0141844 0.1 0 2.48431e-05 0
0.0156028 0.1 0 2.47072e-05 0
0.0170213 0.1 0 2.45705e-05 0
0.0184397 0.1 0 2.44333e-05 0
0.0198582 0.1 0 2.42957e-05 0
0.0212766 0.1 0 2.41579e-05 0
0.022695 0.1 0 2.40201e-05 0
0.0241135 0.1 0 2.38822e-05 0
0.0255319 0.1 0 2.37443e-05 0
0.0269504 0.1 0 2.36065e-05 0
0.0283688 0.1 0 2.34689e-05 0
0.0297872 0.1 0 2.33316e-05 0
0.0312057 0.1 0 2.31944e-05 0
0.0326241 0.1 0 2.30575e-05 0
0.0340426 0.1 0 2.2921e-05 0
0.035461 0.1 0 2.27848e-05 0
0.0368794 0.1 0 2.2649e-05 0
0.0382979 0.1 0 2.25135e-05 0
0.0397163 0.1 0 2.23785e-05 0
0.0411348 0.1 0 2.2244e-05 0
0.0425532 0.1 0 2.21099e-05 0
0.0439716 0.1 0 2.19763e-05 0
0.0453901 0.1 0 2.18433e-05 0
0.0468085 0.1 0 2.17107e-05 0
0.048227 0.1 0 2.15788e-05 0
0.0496454 0.1 0 2.14474e-05 0
0.0510638 0.1 0 2.13166e-05 0
0.0524823 0.1 0 2.11864e-05 0
0.0539007 0.1 0 2.10568e-05 0
0.0553191 0.1 0 2.09279e-05 0
0.0567376 0.1 0 2.07997e-05 0
0.058156 0.1 0 2.06721e-05 0
0.0595745 0.1 0 2.05453e-05 0
0.0609929 0.1 0 2.04192e-05 0
0.0624113 0.1 0 2.02938e-05 0
0.0638298 0.1 0 2.01691e-05 0
0.0652482 0.1 0 2.00452e-05 0
0.0666667 0.1 0 1.99221e-05 0
0.0680851 0.1 0 1.97998e-05 0
0.0695035 0.1 0 1.96783e-05 0
0.070922 0.1 0 1.95577e-05 0
0.0723404 0.1 0 1.94378e-05 0
0.0737589 0.1 0 1.93189e-05 0
0.0751773 0.1 0 1.92008e-05 0
0.0765957 0.1 0 1.90836e-05 0
0.0780142 0.1 0 1.89673e-05 0
0.0794326 0.1 0 1.88519e-05 0
0.0808511 0.1 0 1.87374e-05 0
0.0822695 0.1 0 1.86239e-05 0
0.0836879 0.1 0 1.85113e-05 0
0.0851064 0.1 0 1.83997e-05 0
0.0865248 0.1 0 1.82891e-05 0
0.0879433 0.1 0 1.81795e-05 0
0.0893617 0.1 0 1.80709e-05 0
0.0907801 0.1 0 1.79633e-05 0
0.0921986 0.1 0 1.78568e-05 0
0.093617 0.1 0 1.77513e-05 0
0.0950355 0.1 0 1.76468e-05 0
0.0964539 0.1 0 1.75435e-05 0
0.0978723 0.1 0 1.74412e-05 0
0.0992908 0.1 0 1.734e-05 0
0.100709 0.1 0 1.724e-05 0
0.102128 0.1 0 1.7141e-05 0
0.103546 0.1 0 1.70432e-05 0
0.104965 0.1 0 1.69465e-05 0
0.106383 0.1 0 1.6851e-05 0
