#Header
x y Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0 0 -1.63084e-05 0 0
0.2 0 -1.43671e-05 0 0
0.2 0.1 1.63084e-05 0 0
0 0.1 1.43671e-05 0 0
0.00141844 0.1 1.47939e-05 0 0
0.00283688 0.1 1.53505e-05 0 0
0.00425532 0.1 1.60374e-05 0 0
0.00567376 0.1 2e-05 0 0
0.0070922 0.1 2e-05 0 0
0.00851064 0.1 2e-05 0 0
0.00992908 0.1 2e-05 0 0
0.0113475 0.1 2e-05 0 0
0.012766 0.1 2e-05 0 0
0.0141844 0.1 2e-05 0 0
0.0156028 0.1 2e-05 0 0
0.0170213 0.1 2e-05 0 0
0.0184397 0.1 2e-05 0 0
0.0198582 0.1 2e-05 0 0
0.0212766 0.1 2e-05 0 0
0.022695 0.1 2e-05 0 0
0.0241135 0.1 2e-05 0 0
0.0255319 0.1 2e-05 0 0
0.0269504 0.1 2e-05 0 0
0.0283688 0.1 2e-05 0 0
0.0297872 0.1 2e-05 0 0
0.0312057 0.1 2e-05 0 0
0.0326241 0.1 2e-05 0 0
0.0340426 0.1 2e-05 0 0
0.035461 0.1 2e-05 0 0
0.0368794 0.1 2e-05 0 0
0.0382979 0.1 2e-05 0 0
0.0397163 0.1 2e-05 0 0
0.0411348 0.1 2e-05 0 0
0.0425532 0.1 2e-05 0 0
0.0439716 0.1 2e-05 0 0
0.0453901 0.1 2e-05 0 0
0.0468085 0.1 2e-05 0 0
0.048227 0.1 2e-05 0 0
0.0496454 0.1 2e-05 0 0
0.0510638 0.1 2e-05 0 0
0.0524823 0.1 2e-05 0 0
0.0539007 0.1 2e-05 0 0
0.0553191 0.1 2e-05 0 0
0.0567376 0.1 2e-05 0 0
0.058156 0.1 2e-05 0 0
0.0595745 0.1 2e-05 0 0
0.0609929 0.1 2e-05 0 0
0.0624113 0.1 2e-05 0 0
0.0638298 0.1 2e-05 0 0
0.0652482 0.1 2e-05 0 0
0.0666667 0.1 2e-05 0 0
0.0680851 0.1 2e-05 0 0
0.0695035 0.1 2e-05 0 0
0.070922 0.1 2e-05 0 0
0.0723404 0.1 2e-05 0 0
0.0737589 0.1 2e-05 0 0
0.0751773 0.1 2e-05 0 0
0.0765957 0.1 2e-05 0 0
0.0780142 0.1 2e-05 0 0
0.0794326 0.1 2e-05 0 0
0.0808511 0.1 2e-05 0 0
0.0822695 0.1 2e-05 0 0
0.0836879 0.1 2e-05 0 0
0.0851064 0.1 2e-05 0 0
0.0865248 0.1 2e-05 0 0
0.0879433 0.1 2e-05 0 0
0.0893617 0.1 2e-05 0 0
0.0907801 0.1 2e-05 0 0
0.0921986 0.1 2e-05 0 0
0.093617 0.1 2e-05 0 0
0.0950355 0.1 2e-05 0 0
0.0964539 0.1 2e-05 0 0
0.0978723 0.1 2e-05 0 0
0.0992908 0.1 2e-05 0 0
0.100709 0.1 2e-05 0 0
0.102128 0.1 2e-05 0 0
0.103546 0.1 2e-05 0 0
0.104965 0.1 2e-05 0 0
0.106383 0.1 2e-05 0 0
0.107801 0.1 2e-05 0 0
0.10922 0.1 2e-05 0 0
0.110638 0.1 2e-05 0 0
0.112057 0.1 2e-05 0 0
0.113475 0.1 2e-05 0 0
0.114894 0.1 2e-05 0 0
0.116312 0.1 2e-05 0 0
0.11773 0.1 2e-05 0 0
0.119149 0.1 2e-05 0 0
0.120567 0.1 2e-05 0 0
0.121986 0.1 2e-05 0 0
0.123404 0.1 2e-05 0 0
