#Header
x y Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0 0 -1.99871e-05 2.63516e-05 0
0.2 0 -2e-05 2.50253e-05 0
0.2 0.1 -2e-05 2.53282e-05 0
0 0.1 2e-05 2.64564e-05 0
0 0.0465 2e-05 2.64833e-05 0
0 0.0535 1.6768e-05 2.65e-05 0.285714
0.05 0.05 1.88567e-05 2.65e-05 0.439024
0.00149254 0.1 2.0157e-05 2.65e-05 0
0.00298507 0.1 2e-05 2.64466e-05 0
0.00447761 0.1 2e-05 2.64362e-05 0
0.00597015 0.1 2e-05 2.64285e-05 0
0.00746269 0.1 2e-05 2.64214e-05 0
0.00895522 0.1 2e-05 2.64158e-05 0
0.0104478 0.1 2e-05 2.6411e-05 0
0.0119403 0.1 2e-05 2.64066e-05 0
0.0134328 0.1 2e-05 2.64027e-05 0
0.0149254 0.1 2e-05 2.63992e-05 0
0.0164179 0.1 2e-05 2.6396e-05 0
0.0179104 0.1 2e-05 2.63925e-05 0
0.019403 0.1 2e-05 2.63885e-05 0
0.0208955 0.1 2e-05 2.63841e-05 0
0.0223881 0.1 2e-05 2.63797e-05 0
0.0238806 0.1 2e-05 2.63754e-05 0
0.0253731 0.1 2e-05 2.63712e-05 0
0.0268657 0.1 2e-05 2.63671e-05 0
0.0283582 0.1 2e-05 2.63631e-05 0
0.0298507 0.1 2e-05 2.63587e-05 0
0.0313433 0.1 2e-05 2.63548e-05 0
0.0328358 0.1 2e-05 2.6351e-05 0
0.0343284 0.1 2e-05 2.63472e-05 0
0.0358209 0.1 2e-05 2.63433e-05 0
0.0373134 0.1 2e-05 2.63387e-05 0
0.038806 0.1 2e-05 2.63333e-05 0
0.0402985 0.1 2e-05 2.63278e-05 0
0.041791 0.1 2e-05 2.63223e-05 0
0.0432836 0.1 2e-05 2.63166e-05 0
0.0447761 0.1 2e-05 2.63109e-05 0
0.0462687 0.1 2e-05 2.63052e-05 0
0.0477612 0.1 2e-05 2.62995e-05 0
0.0492537 0.1 2e-05 2.62938e-05 0
0.0507463 0.1 2e-05 2.6288e-05 0
0.0522388 0.1 2e-05 2.62825e-05 0
0.0537313 0.1 2e-05 2.62766e-05 0
0.0552239 0.1 2e-05 2.62702e-05 0
0.0567164 0.1 2e-05 2.62635e-05 0
0.058209 0.1 2e-05 2.62569e-05 0
0.0597015 0.1 2e-05 2.62506e-05 0
0.061194 0.1 2e-05 2.62439e-05 0
0.0626866 0.1 2e-05 2.62373e-05 0
0.0641791 0.1 2e-05 2.623e-05 0
0.0656716 0.1 2e-05 2.62228e-05 0
0.0671642 0.1 2e-05 2.62154e-05 0
0.0686567 0.1 2e-05 2.6208e-05 0
0.0701493 0.1 2e-05 2.62007e-05 0
0.0716418 0.1 2e-05 2.61938e-05 0
0.0731343 0.1 2e-05 2.61868e-05 0
0.0746269 0.1 2e-05 2.61793e-05 0
0.0761194 0.1 2e-05 2.61706e-05 0
0.0776119 0.1 2e-05 2.61624e-05 0
0.0791045 0.1 2e-05 2.61537e-05 0
0.080597 0.1 2e-05 2.61442e-05 0
0.0820896 0.1 2e-05 2.61342e-05 0
0.0835821 0.1 2e-05 2.61242e-05 0
0.0850746 0.1 2e-05 2.61148e-05 0
0.0865672 0.1 2e-05 2.61059e-05 0
0.0880597 0.1 2e-05 2.60976e-05 0
0.0895522 0.1 2e-05 2.60895e-05 0
0.0910448 0.1 2e-05 2.60807e-05 0
0.0925373 0.1 2e-05 2.60699e-05 0
