#Header
x y Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0 0 -1.94999e-05 2.36461e-05 0
0.2 0 -2e-05 5.35841e-06 0
0.2 0.1 -2e-05 5.35805e-06 0
0 0.1 -4.25074e-05 2.55926e-05 0
0 0.0465 -1.44258e-05 2.609e-05 0
0 0.0535 -4.18992e-05 2.65e-05 0.285714
0.05 0.05 -3.1212e-05 2.65e-05 0.512195
0.00149254 0.1 -4.24361e-05 2.65e-05 0
0.00298507 0.1 -4.24094e-05 2.53858e-05 0
0.00447761 0.1 -4.23348e-05 2.51584e-05 0
0.00597015 0.1 -4.21842e-05 2.49866e-05 0
0.00746269 0.1 -4.20242e-05 2.48264e-05 0
0.00895522 0.1 -4.18915e-05 2.46946e-05 0
0.0104478 0.1 -4.17633e-05 2.45792e-05 0
0.0119403 0.1 -4.16101e-05 2.44711e-05 0
0.0134328 0.1 -4.14289e-05 2.43722e-05 0
0.0149254 0.1 -4.12454e-05 2.42832e-05 0
0.0164179 0.1 -4.10723e-05 2.41972e-05 0
0.0179104 0.1 -4.09244e-05 2.41044e-05 0
0.019403 0.1 -4.07433e-05 2.39914e-05 0
0.0208955 0.1 -4.05628e-05 2.38689e-05 0
0.0223881 0.1 -4.03695e-05 2.37417e-05 0
0.0238806 0.1 -4.01588e-05 2.36172e-05 0
0.0253731 0.1 -3.99332e-05 2.34923e-05 0
0.0268657 0.1 -3.96913e-05 2.33665e-05 0
0.0283582 0.1 -3.94229e-05 2.32422e-05 0
0.0298507 0.1 -3.91144e-05 2.31061e-05 0
0.0313433 0.1 -3.88265e-05 2.29816e-05 0
0.0328358 0.1 -3.85228e-05 2.28602e-05 0
0.0343284 0.1 -3.82249e-05 2.27379e-05 0
0.0358209 0.1 -3.79239e-05 2.26086e-05 0
0.0373134 0.1 -3.76296e-05 2.24603e-05 0
0.038806 0.1 -3.72762e-05 2.22824e-05 0
0.0402985 0.1 -3.69154e-05 2.21012e-05 0
0.041791 0.1 -3.65951e-05 2.19147e-05 0
0.0432836 0.1 -3.6328e-05 2.17253e-05 0
0.0447761 0.1 -3.60956e-05 2.15333e-05 0
0.0462687 0.1 -3.58837e-05 2.13391e-05 0
0.0477612 0.1 -3.57138e-05 2.1144e-05 0
0.0492537 0.1 -3.55348e-05 2.0949e-05 0
0.0507463 0.1 -3.53798e-05 2.07506e-05 0
0.0522388 0.1 -3.5237e-05 2.05607e-05 0
0.0537313 0.1 -3.50983e-05 2.03636e-05 0
0.0552239 0.1 -3.50037e-05 2.01504e-05 0
0.0567164 0.1 -3.49338e-05 1.99283e-05 0
0.058209 0.1 -3.48309e-05 1.97104e-05 0
0.0597015 0.1 -3.47847e-05 1.95055e-05 0
0.061194 0.1 -3.4844e-05 1.92884e-05 0
0.0626866 0.1 -3.4864e-05 1.90736e-05 0
0.0641791 0.1 -3.49704e-05 1.88413e-05 0
0.0656716 0.1 -3.49975e-05 1.86106e-05 0
0.0671642 0.1 -3.51328e-05 1.83792e-05 0
0.0686567 0.1 -3.52688e-05 1.81464e-05 0
0.0701493 0.1 -3.53651e-05 1.79227e-05 0
0.0716418 0.1 -3.54675e-05 1.7713e-05 0
0.0731343 0.1 -3.5633e-05 1.75084e-05 0
0.0746269 0.1 -3.58002e-05 1.72902e-05 0
0.0761194 0.1 -3.59407e-05 1.70441e-05 0
0.0776119 0.1 -3.60633e-05 1.681e-05 0
0.0791045 0.1 -3.62796e-05 1.6571e-05 0
